h3_10,subway_dist_m,crime_count,crime_felony,crime_misdemeanor,crime_violation,complaint_311_count,c311_noise___residential,c311_noise___commercial,c311_illegal_parking,c311_heat_hot_water,c311_street_condition,c311_blocked_driveway
8a2a1008b2dffff,708.2414715953499,18.0,6.0,10.0,2.0,18.0,0.0,1.0,2.0,2.0,0.0,1.0
8a2a100a17a7fff,647.3856054052291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8a2a1008c2c7fff,481.1213555759682,11.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8a2a100aed6ffff,381.1860145294472,29.0,10.0,12.0,7.0,51.0,3.0,0.0,2.0,11.0,0.0,0.0
8a2a1072d887fff,977.5632196231302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8a2a100d281ffff,197.1745551677176,10.0,4.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8a2a10728167fff,166.09426915736344,5.0,0.0,4.0,1.0,16.0,0.0,0.0,2.0,1.0,0.0,0.0
8a2a1072c427fff,678.4554758303885,4.0,2.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0
8a2a100888b7fff,466.7324405960184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8a2a1008d297fff,87.52796491724555,35.0,8.0,16.0,11.0,216.0,1.0,29.0,0.0,122.0,0.0,1.0
8a2a1008da27fff,951.4087059431863,36.0,11.0,19.0,6.0,11.0,0.0,0.0,1.0,4.0,0.0,0.0
8a2a100ae81ffff,165.7655354828406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8a2a100894effff,331.83234575276833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8a2a100d356ffff,766.0061704253496,18.0,5.0,12.0,1.0,23.0,0.0,0.0,0.0,7.0,0.0,0.0
8a2a10089da7fff,249.95545498757912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8a2a1008974ffff,326.4860887094187,8.0,5.0,3.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0
8a2a1008bac7fff,223.80758876669825,3.0,2.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
8a2a100d212ffff,141.0366914342626,36.0,11.0,22.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8a2a100d686ffff,564.6696232729422,13.0,2.0,11.0,0.0,10.0,1.0,1.0,5.0,0.0,0.0,1.0
8a2a10089db7fff,76.62129711075481,15.0,4.0,11.0,0.0,15.0,1.0,0.0,0.0,0.0,2.0,0.0
