h3_10,geometry,SEGMENTID,COMPLEXID,SAFTYPE,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
8a2a1072c56ffff,POINT (-74.00701717096757 40.72463475783341),31895,0,N,1.0,567,9,0,1.0,05/14/2009 12:00:00 AM,11/18/2011 12:00:00 AM,6,DoITT,19743001.0,0,HOLLAND
8a2a10019397fff,POINT (-73.82661642130311 40.7971825265985),306303,3378,N,2.0,568,8,0,4.0,05/14/2009 12:00:00 AM,01/09/2017 12:00:00 AM,6,DoITT,49731001.0,0,WHITESTONE
8a2a1072d44ffff,POINT (-73.99395441100663 40.70384707235758),144842,3960,N,2.0,576,8,0,3.0,05/14/2009 12:00:00 AM,01/22/2018 12:00:00 AM,6,DoITT,39734001.0,0,BROOKLYN
8a2a1072dcdffff,POINT (-73.99194142130909 40.70960010711745),162664,0,N,1.0,580,8,0,1.0,05/14/2009 12:00:00 AM,05/11/2011 12:00:00 AM,6,DoITT,19795001.0,0,MANHATTAN
8a2a100d0a9ffff,POINT (-73.9526609766105 40.73906602249743),157362,0,N,1.0,582,8,0,3.0,05/14/2009 12:00:00 AM,03/03/2017 12:00:00 AM,6,DoITT,39740001.0,0,PULASKI
8a2a100f096ffff,POINT (-73.88514373689752 40.78672808734672),188216,0,N,2.0,584,8,0,2.0,05/14/2009 12:00:00 AM,05/09/2017 12:00:00 AM,6,DoITT,29823001.0,0,RIKERS ISLAND
8a2a100d0b4ffff,POINT (-73.94269883592102 40.73904190947023),189271,0,N,2.0,590,8,0,4.0,05/14/2009 12:00:00 AM,05/09/2017 12:00:00 AM,6,DoITT,43649002.0,0,BORDEN
8a2a10774ca7fff,POINT (-73.99021820844462 40.67614862375878),22514,0,N,2.0,594,8,0,3.0,05/14/2009 12:00:00 AM,03/03/2017 12:00:00 AM,6,DoITT,30538002.0,0,3
8a2a100ab18ffff,POINT (-73.93236490031313 40.81950790508749),69404,0,N,1.0,603,8,0,2.0,05/14/2009 12:00:00 AM,10/21/2015 12:00:00 AM,6,DoITT,29830001.0,0,145
8a2a1072d0affff,POINT (-73.98924219391657 40.70487170757846),155168,3960,N,2.0,605,8,0,3.0,05/14/2009 12:00:00 AM,01/22/2018 12:00:00 AM,6,DoITT,39721001.0,0,MANHATTAN
8a2a100f6587fff,POINT (-73.92788452519541 40.80405743794189),259119,15,N,1.0,607,8,0,2.0,05/14/2009 12:00:00 AM,10/23/2012 12:00:00 AM,6,DoITT,21003001.0,0,WILLIS
8a2a100ab19ffff,POINT (-73.93314181020845 40.81948054863648),295141,0,N,2.0,609,8,0,1.0,05/14/2009 12:00:00 AM,04/19/2018 12:00:00 AM,6,DoITT,19775001.0,0,145
8a2a100e2b27fff,POINT (-73.83947161357135 40.76570484358984),153035,0,N,2.0,613,8,0,4.0,05/14/2009 12:00:00 AM,01/25/2021 12:00:00 AM,6,DoITT,46629019.0,0,WHITESTONE EXPRESSWAY
